                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0995,                0.57699,                 1.0224,                0.86717,                0.88497,                0.93969,                0.63824,                 1.1849,                0.68258,                 1.1192,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.1257,                0.59825,                 1.0194,                0.86422,                0.90524,                0.93889,                0.64141,                 1.1656,                0.65223,                 1.1046,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.1301,                 0.6119,                 1.0407,                0.84713,                0.92222,                0.93904,                0.62461,                 1.2523,                0.65369,                 1.1249,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.1036,                0.58236,                 1.0256,                0.87852,                    0.9,                0.94096,                0.62338,                 1.1911,                0.66057,                 1.1068,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.1201,                0.57734,                 1.0297,                0.89631,                0.90222,                0.95997,                0.64579,                 1.2042,                0.62474,                 1.1249,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1186,                 0.5844,                 1.0326,                0.86527,                0.88482,                0.93622,                0.60067,                 1.2896,                0.68299,                 1.1361,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.1343,                0.60072,                 1.0302,                0.87228,                0.91059,                0.94656,                0.63154,                 1.1985,                0.65084,                 1.1158,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.1401,                0.59152,                 1.0407,                0.90541,                0.87111,                0.94861,                0.62707,                 1.1758,                 0.6292,                 1.1045,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.1546,                0.58991,                 1.0275,                0.87813,                0.89665,                0.94584,                0.64764,                 1.1603,                0.62504,                 1.0977,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.0929,                0.57286,                  1.017,                0.85377,                0.91111,                0.94767,                0.63379,                 1.2309,                0.64775,                 1.1187,               0.001208,               0.001208,               0.001208
                     82,                 1.0931,                0.56709,                 1.0167,                0.86568,                0.90231,                0.94794,                0.64736,                 1.1541,                0.64514,                 1.1024,              0.0011981,              0.0011981,              0.0011981
                     83,                   1.05,                0.55263,                 1.0135,                0.87737,                0.90627,                0.94241,                0.62596,                 1.1872,                 0.6411,                 1.1154,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1085,                0.56935,                 1.0247,                0.85192,                0.89778,                0.93429,                0.63872,                 1.1454,                0.68228,                  1.091,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.0623,                0.55745,                 1.0042,                0.82214,                0.91556,                0.92441,                0.60207,                 1.2014,                0.68664,                 1.1098,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.0594,                0.55428,                 0.9967,                0.83507,                0.92262,                0.94665,                0.64996,                  1.154,                0.64973,                 1.0873,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.0584,                  0.564,                 1.0058,                0.86295,                 0.8815,                0.94702,                0.65608,                 1.1503,                0.62508,                 1.1011,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.0523,                0.55223,                 1.0091,                0.86542,                0.86222,                0.92292,                 0.6031,                 1.2056,                0.65478,                 1.1279,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.0305,                0.54195,                0.99776,                0.83401,                    0.9,                0.92796,                0.64225,                 1.1516,                0.65688,                 1.1043,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.0533,                0.55307,                 1.0117,                0.84312,                0.93111,                0.94342,                0.63711,                 1.1852,                0.62528,                 1.1202,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.0601,                0.54686,                 1.0068,                0.87339,                0.89778,                0.94638,                0.64883,                 1.1415,                0.61386,                 1.1094,               0.001109,               0.001109,               0.001109
                     92,                   1.05,                0.55082,                 1.0058,                0.85393,                0.90444,                0.94525,                0.64656,                 1.1697,                0.61689,                 1.1071,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.0193,                0.53158,                 1.0104,                0.85656,                0.88444,                0.94036,                0.63326,                 1.1844,                0.67428,                 1.0988,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.0499,                0.54583,                0.99933,                0.84584,                0.90228,                0.94054,                0.62367,                 1.1972,                0.66269,                 1.1229,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.0489,                0.53886,                0.99872,                0.87948,                0.87556,                0.93251,                  0.632,                   1.19,                0.65186,                 1.1104,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.0682,                0.55466,                 1.0069,                0.83807,                0.93111,                0.94071,                0.62876,                  1.219,                0.62753,                 1.1149,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.0333,                0.54553,                 1.0051,                0.88268,                0.86222,                0.93423,                0.62211,                 1.2541,                0.66199,                 1.1243,              0.0010496,              0.0010496,              0.0010496
